[2024-07-14T03:09:26.104+0530] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2024-07-14T03:09:26.128+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: raw_load_customers.insert_table manual__2024-07-13T21:37:50.170071+00:00 [queued]>
[2024-07-14T03:09:26.141+0530] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: raw_load_customers.insert_table manual__2024-07-13T21:37:50.170071+00:00 [queued]>
[2024-07-14T03:09:26.141+0530] {taskinstance.py:2306} INFO - Starting attempt 2 of 2
[2024-07-14T03:09:26.159+0530] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): insert_table> on 2024-07-13 21:37:50.170071+00:00
[2024-07-14T03:09:26.166+0530] {standard_task_runner.py:63} INFO - Started process 28567 to run task
[2024-07-14T03:09:26.171+0530] {standard_task_runner.py:90} INFO - Running: ['airflow', 'tasks', 'run', 'raw_load_customers', 'insert_table', 'manual__2024-07-13T21:37:50.170071+00:00', '--job-id', '1370', '--raw', '--subdir', 'DAGS_FOLDER/dag_raw_customers.py', '--cfg-path', '/tmp/tmpt9j_howe']
[2024-07-14T03:09:26.174+0530] {standard_task_runner.py:91} INFO - Job 1370: Subtask insert_table
[2024-07-14T03:09:26.220+0530] {task_command.py:426} INFO - Running <TaskInstance: raw_load_customers.insert_table manual__2024-07-13T21:37:50.170071+00:00 [running]> on host kali
[2024-07-14T03:09:26.311+0530] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='airflow' AIRFLOW_CTX_DAG_ID='raw_load_customers' AIRFLOW_CTX_TASK_ID='insert_table' AIRFLOW_CTX_EXECUTION_DATE='2024-07-13T21:37:50.170071+00:00' AIRFLOW_CTX_TRY_NUMBER='2' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-07-13T21:37:50.170071+00:00'
[2024-07-14T03:09:26.312+0530] {taskinstance.py:430} INFO - ::endgroup::
[2024-07-14T03:09:26.343+0530] {logging_mixin.py:188} INFO - customer_id`,`name`,`address`,`phone`,`email`,`dob`,`ingetion_timestamp
[2024-07-14T03:09:26.356+0530] {logging_mixin.py:188} INFO - ('c67e1c01-0924-49a4-bb6e-f28cb38d2390', 'John Ross', '993 Carter Road Apt. 420\nNew Staceyville, IL 19501', '+1-576-619-4841x43418', 'atkinsandrea@example.net', '1987-01-19', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.356+0530] {logging_mixin.py:188} INFO - ('60987ea6-b004-48d7-beff-7a0d9aedabd3', 'Shawn Hill', '4288 Higgins Station\nDebraside, LA 56903', '+1-438-734-9701x3632', 'yneal@example.net', '1954-07-08', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.357+0530] {logging_mixin.py:188} INFO - ('8153a48f-6831-4621-bc41-598f2b74214e', 'Linda Sullivan', '5686 Maria Pike Suite 626\nNorth Adrianchester, MN 08212', '353.365.8269x57978', 'dmiller@example.com', '2001-07-18', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.357+0530] {logging_mixin.py:188} INFO - ('c059714f-c73e-40db-a29c-ce0991366b63', 'Walter Molina', '04027 Robertson Canyon Suite 061\nJenniferhaven, MN 93496', '001-253-226-6248x5495', 'nealshawn@example.org', '1960-07-15', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.358+0530] {logging_mixin.py:188} INFO - ('0d441f69-3424-4ab7-b6d7-336818c4cb58', 'Michael Davis', '8365 Nguyen Canyon\nPort Dustin, VI 49681', '001-598-276-6250x50951', 'brianjohnson@example.com', '1953-11-07', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.358+0530] {logging_mixin.py:188} INFO - ('38a6c4af-eef5-43b7-ace3-b257ed59a6cd', 'James Medina', '8191 Yesenia Wall\nLake Jonland, UT 29731', '549-504-4673', 'karla14@example.org', '1956-05-05', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.359+0530] {logging_mixin.py:188} INFO - ('71a2b7eb-88e3-48ff-bcda-cb6cd83e6071', 'Bryan Farrell', '8084 Griffin Plaza Apt. 353\nPort Aaron, MN 82967', '+1-608-569-9237x7419', 'kiara33@example.net', '1954-05-02', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.359+0530] {logging_mixin.py:188} INFO - ('759a99d5-19f1-488e-b43f-47a46dea198c', 'Jessica Foster MD', 'Unit 9048 Box 6615\nDPO AP 79071', '(998)311-4511x2086', 'oscar31@example.com', '1972-01-30', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.360+0530] {logging_mixin.py:188} INFO - ('8f2ccaa2-a2e1-49c6-83fe-d3caf3c367e4', 'Renee Brown', '659 Jessica Walks\nNew Josephtown, TX 30969', '+1-784-603-7251x9577', 'alexfernandez@example.com', '1938-10-05', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.361+0530] {logging_mixin.py:188} INFO - ('c730586d-1f12-4c76-bfbb-56168464cad8', 'Kevin Carey', '4906 Ryan Villages Suite 148\nScottfort, OR 97493', '(579)421-8439x09420', 'landerson@example.com', '1981-02-22', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.361+0530] {logging_mixin.py:188} INFO - ('3e6ec528-737f-49c0-9be6-164c35b14a61', 'Pamela Robertson', 'USS Mejia\nFPO AE 76996', '001-619-785-8602x679', 'bgonzalez@example.net', '1977-05-29', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.362+0530] {logging_mixin.py:188} INFO - ('497795ab-f920-4c1f-b77c-1d85d9f2f131', 'Antonio Oneill', '8141 Houston Land\nPort Mark, PR 53594', '780.882.7438x0605', 'helenpierce@example.org', '1955-10-28', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.362+0530] {logging_mixin.py:188} INFO - ('3ceecddf-6f49-448a-b253-0f265b8cbaea', 'Deborah Ford', 'USS Dean\nFPO AA 33853', '3922087847', 'valeriegamble@example.com', '1996-10-07', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.363+0530] {logging_mixin.py:188} INFO - ('c26a1930-cb12-486b-9bb4-b71159b8a757', 'Matthew Cruz', '17425 Cox Estates\nSouth Sean, OK 78493', '(672)928-0827', 'wesley37@example.org', '1980-04-19', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.363+0530] {logging_mixin.py:188} INFO - ('b42d3fdb-45ac-43f0-b914-43ee5c99c6d7', 'Scott Leon MD', '753 Combs Bridge Suite 964\nBenjaminburgh, RI 07323', '001-545-568-7042x013', 'ryanherring@example.com', '1966-05-27', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.364+0530] {logging_mixin.py:188} INFO - ('e55e65bd-7e8b-4d60-9dec-f1918bd4192d', 'Christopher Buchanan', 'USCGC Gutierrez\nFPO AE 32944', '+1-420-771-3860x0280', 'christopher56@example.com', '1963-04-27', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.365+0530] {logging_mixin.py:188} INFO - ('8161d103-9eeb-48c7-8aac-fd5cb1aa72eb', 'Adrian Davis', '0367 Warner Mountains Apt. 431\nSouth Kristenfurt, WI 02138', '+1-609-204-8385x7637', 'cflores@example.org', '1957-05-30', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.367+0530] {logging_mixin.py:188} INFO - ('61fc03e6-184e-4818-acdc-e42b85e51652', 'Kelsey Ramirez', '46122 Knight Crest\nNew Christina, OR 03181', '4254222282', 'mneal@example.com', '1933-11-24', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.368+0530] {logging_mixin.py:188} INFO - ('feb5abea-8b2b-46b9-a08e-318d6ae37865', 'Sean Rodriguez', '41903 Walton Station Suite 948\nBrianland, NJ 83820', '+1-318-578-9416x740', 'jeremymooney@example.net', '1996-07-02', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.369+0530] {logging_mixin.py:188} INFO - ('3d532d0b-ffd2-402f-952a-670aeae9e8cf', 'Shannon Norris', '50517 Lydia Village Suite 528\nRobbinsport, FM 78853', '+1-658-784-7265x2082', 'michaelwalker@example.com', '2001-10-14', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.370+0530] {logging_mixin.py:188} INFO - ('cf8eb6f8-24ea-4362-8034-cc02814dd23f', 'Ashley Garcia', '44035 Jesse Gardens Apt. 175\nKevinbury, ME 25509', '744.964.8694x5424', 'margaret25@example.com', '1975-01-15', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.370+0530] {logging_mixin.py:188} INFO - ('501fbce8-40d0-4c1a-ac41-13d08abc43dc', 'Steven Wheeler', '86189 Hawkins Pass\nJameston, LA 40364', '001-768-302-5489x884', 'sydney89@example.com', '1969-11-12', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.371+0530] {logging_mixin.py:188} INFO - ('c884039c-efbc-459d-95f6-131a9f8155dc', 'Heather Medina', '0301 May Greens\nNew Anthony, IL 36664', '001-490-592-2197x67769', 'jreyes@example.net', '1984-12-06', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.372+0530] {logging_mixin.py:188} INFO - ('d87b727b-1774-454f-835d-5b974f4658a6', 'Robert Burns', '6182 Tristan Key\nMatthewhaven, NJ 03875', '001-528-450-1646x326', 'scottjones@example.org', '1999-12-11', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.372+0530] {logging_mixin.py:188} INFO - ('4152f0ad-2509-4a9c-97fb-a4889ff310d1', 'Terry Miller', '261 Johnson Crossroad Apt. 447\nSouth Michael, NV 70724', '8613878082', 'xbrown@example.net', '1956-10-31', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.373+0530] {logging_mixin.py:188} INFO - ('f23cab30-05d7-4b00-b2db-7c630721b0eb', 'Joseph Richard', '00997 Davis Via Apt. 820\nKimberlyville, OK 29622', '(757)505-2370x670', 'sandra40@example.net', '1994-03-05', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.373+0530] {logging_mixin.py:188} INFO - ('5fd77d74-7071-4800-a2ab-734156e7260e', 'Yvette Johnson', '63319 Bradley Well\nEast Corey, AR 98388', '737-629-6590x299', 'clopez@example.org', '1996-07-13', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.374+0530] {logging_mixin.py:188} INFO - ('89d76a3a-e9e5-42e4-8f5a-ddba6d8c1921', 'Justin Wagner', '6159 Alicia Burgs\nDesireeview, GU 17117', '318-779-5522x2093', 'dayala@example.org', '1972-12-23', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.374+0530] {logging_mixin.py:188} INFO - ('ebfb1ceb-7533-4e9e-b0c5-e0ed83eae578', 'Omar Oconnell', '0429 Monica Forks Apt. 173\nNorth Caitlinton, CO 17273', '001-352-379-8533x38387', 'efarmer@example.org', '1992-12-22', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.375+0530] {logging_mixin.py:188} INFO - ('928f7d3c-4a27-4313-a74b-a7aa02e45bdb', 'David Dodson', '892 John Mission Apt. 485\nMichealland, AS 70478', '(372)737-5385x7161', 'lisa44@example.org', '1994-01-10', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.375+0530] {logging_mixin.py:188} INFO - ('9a794fe5-4692-4463-9caa-fa200d6fb0f0', 'Kevin Chan', '297 Candace Knoll\nParkview, CO 70870', '(809)397-9965x33468', 'emiller@example.com', '2001-10-29', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.376+0530] {logging_mixin.py:188} INFO - ('6bb799f2-3240-4065-94a2-d43df28feafd', 'Joshua Ellison', '984 Wright Track\nNorth Cassandrabury, AS 04310', '001-589-547-4286x28570', 'jamie66@example.net', '1939-06-14', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.376+0530] {logging_mixin.py:188} INFO - ('98b25827-49c2-4b82-9b4b-7bc4db1c3f11', 'Joseph Schroeder', '94967 Ward Camp Suite 882\nHarperton, TN 55448', '001-210-389-8303x55688', 'teresataylor@example.org', '1977-12-15', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.377+0530] {logging_mixin.py:188} INFO - ('1d57aa27-4b56-476f-9777-173f01ef7f43', 'Richard White', '8603 Jones Squares\nLukebury, ME 84302', '001-835-627-0364x77608', 'lisarich@example.org', '1959-03-02', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.377+0530] {logging_mixin.py:188} INFO - ('b3bd16dc-811d-43b6-b8a5-0e6d7c268416', 'Carl Smith', '41761 Kenneth Meadow Suite 245\nNew Charles, NV 92250', '432.880.4206x388', 'stoneheather@example.com', '1944-06-23', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.378+0530] {logging_mixin.py:188} INFO - ('4b736cf6-0efa-499e-b094-b85ed9e2680e', 'Nicole Marquez', '065 Pamela Center Suite 270\nWardside, SD 81405', '801-219-7332x577', 'joneskurt@example.net', '1938-07-10', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.378+0530] {logging_mixin.py:188} INFO - ('6a976ea3-d391-41c9-a517-427475be3912', 'Rebecca Ramsey', '189 Tony Inlet Apt. 282\nAustinville, OR 25820', '265.690.7538', 'zflores@example.net', '1950-12-22', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.379+0530] {logging_mixin.py:188} INFO - ('761ba473-034e-42be-a15c-53fb40e560cf', 'Charles Buckley', '3139 John Burgs Apt. 857\nJohnsonbury, GU 79424', '426.864.0417', 'debra49@example.net', '1962-09-07', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.380+0530] {logging_mixin.py:188} INFO - ('0b0779c5-c084-40b4-b332-42a9724cb0d0', 'Matthew Avery', '424 Stephanie Glen\nMillerstad, MA 66060', '287-265-5488x71120', 'marissakeller@example.org', '1970-02-04', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.381+0530] {logging_mixin.py:188} INFO - ('fb0d5551-e57d-4713-9b51-8db8ede2a225', 'William Mejia', '141 Dawn Skyway\nNew Lisa, VA 87219', '001-664-694-7940x6936', 'rpalmer@example.net', '1954-09-01', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.383+0530] {logging_mixin.py:188} INFO - ('f2cdcd00-d235-4662-a0b6-a385fff1181b', 'Robert Gomez', '392 Luna Bridge\nEast Erikton, TX 81157', '+1-928-254-0582', 'kyle89@example.net', '1945-05-24', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.384+0530] {logging_mixin.py:188} INFO - ('f7c11d34-0165-46f3-8a76-b823c7d1dc4d', 'Bradley Nelson', '171 Wayne Keys\nAlexischester, WA 77278', '+1-762-321-0698', 'linda28@example.com', '1991-09-07', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.385+0530] {logging_mixin.py:188} INFO - ('897cfbdc-03da-4a12-b610-4fef7b003da4', 'William Jennings', '1578 Alex Mission\nMccarthymouth, KS 66881', '326-799-1493', 'bbauer@example.com', '1987-04-23', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.386+0530] {logging_mixin.py:188} INFO - ('c6a8e557-e307-4117-a4e1-5e94f40a40d7', 'Amanda Taylor', '168 Mccoy Spring\nSouth Michael, MP 44055', '001-509-554-5930x49865', 'traci33@example.net', '1973-11-27', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.387+0530] {logging_mixin.py:188} INFO - ('4b6b25bf-f0f4-4604-a0f0-e3a3ac705ed7', 'Shannon Robbins', '494 Clarke Parks\nLake Jonathanshire, NY 53005', '(772)458-1846', 'aliciaunderwood@example.com', '1937-02-28', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.388+0530] {logging_mixin.py:188} INFO - ('e570d249-176b-45c8-89ce-53062c3a3e31', 'William Rodriguez', '393 Robertson Ports Suite 767\nSouth Debraton, MS 85205', '(679)335-0816x281', 'austin74@example.net', '1967-06-02', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.388+0530] {logging_mixin.py:188} INFO - ('bbc9549b-d017-40c6-8851-36e07913df76', 'Steven Elliott', '9523 Singleton Mews Suite 918\nLake Thomas, MP 49669', '001-360-415-1011x18809', 'monicaflores@example.net', '1975-07-14', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.389+0530] {logging_mixin.py:188} INFO - ('7ef58352-c396-435a-aca1-3f85ab2892d3', 'Mark Murphy', '864 Turner Mount\nEast Kristenfort, AR 13603', '8032260503', 'zacharyrice@example.com', '1942-02-13', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.389+0530] {logging_mixin.py:188} INFO - ('28d22af3-ebe1-4666-a67a-0657565c453f', 'Brenda Johnson', '1986 Perez Track Apt. 520\nEast Melissaberg, GA 43060', '482.449.8180', 'melissaarellano@example.com', '1947-04-08', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.390+0530] {logging_mixin.py:188} INFO - ('dbd8fbec-7151-4398-9dc8-a82b7a4deb71', 'Michelle Hernandez', '38982 Webb Cove Apt. 788\nTeresaville, PR 16227', '(845)865-9084', 'sethleonard@example.com', '1991-12-14', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.390+0530] {logging_mixin.py:188} INFO - ('68472fd2-e795-4cf5-9b07-e8ad21e01979', 'Rebecca Cole', '38543 Craig Mountain\nChristineborough, AL 45062', '001-311-879-4227x1686', 'tfuentes@example.org', '1986-04-11', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.391+0530] {logging_mixin.py:188} INFO - ('651e5ae7-526f-4170-9725-9a6209f4063d', 'Justin Washington', '9092 Young Cliff Apt. 167\nWest Richardtown, VT 93543', '683-438-3725x335', 'plopez@example.com', '1934-09-15', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.392+0530] {logging_mixin.py:188} INFO - ('f05ffce9-2ca5-485d-8e35-7bffe3e0a034', 'Gregory Gomez', '9563 Jones Passage Suite 613\nSouth Marybury, MO 69850', '+1-449-990-2573x9115', 'younganthony@example.com', '1954-08-13', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.392+0530] {logging_mixin.py:188} INFO - ('5b4b408b-f6b4-4373-9f23-17f481722af1', 'Katelyn Howell', '72683 Shirley Flats Suite 771\nRomeroport, AK 62456', '(996)623-2041x63474', 'anthonyschroeder@example.com', '2001-07-25', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.393+0530] {logging_mixin.py:188} INFO - ('a50f0d5f-b78f-42a8-86ef-887b9802dae8', 'Alicia Horton', '3531 Richard Greens Suite 093\nWest Shaunfurt, MD 50652', '001-900-330-9200x090', 'mary83@example.net', '1968-03-01', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.393+0530] {logging_mixin.py:188} INFO - ('f3c75380-b09c-42f9-ac7d-0b5073186020', 'Ashley Kennedy', '8060 Jason Island Apt. 119\nEast James, WY 34554', '001-357-336-9763', 'briannichols@example.net', '1953-04-04', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.394+0530] {logging_mixin.py:188} INFO - ('8a93e3c4-29a3-4d3a-bffe-55396abfda25', 'Jason Brady', '77889 Lori Stravenue Suite 834\nDavidburgh, MP 91611', '869.546.3098', 'robertgoodman@example.org', '1989-07-25', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.394+0530] {logging_mixin.py:188} INFO - ('dc461bf9-33c3-41a4-9daf-fff228ba2009', 'Kristi Cook', '713 Rios Squares\nRhodesshire, UT 89395', '673-877-3834', 'gnicholson@example.org', '1963-04-15', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.395+0530] {logging_mixin.py:188} INFO - ('a392ffad-4c00-4935-a6f7-21540ba27e8c', 'Nancy Santos', '5202 Sanchez Valleys Suite 684\nBarberside, WV 29054', '001-951-536-0702x268', 'perezgina@example.org', '1950-07-21', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.395+0530] {logging_mixin.py:188} INFO - ('52926637-0bbc-4cd5-bfeb-19e337cff458', 'Derrick Hancock', '5498 Alexander Meadows Suite 328\nLake Anthonychester, ME 30087', '780-903-2479', 'kennethkennedy@example.net', '1954-02-21', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.396+0530] {logging_mixin.py:188} INFO - ('a799bc38-39fb-4a40-947e-e19ba9726bf7', 'Kevin Hurley', '131 Jesse Points\nPort Allison, NM 32151', '+1-370-681-3588x7471', 'brittany66@example.com', '1997-08-25', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.397+0530] {logging_mixin.py:188} INFO - ('55f794bd-977f-4b65-b71d-8f082d59f8fa', 'Amber Suarez', '740 Gregory Gardens\nLake Christopher, CO 27674', '001-492-681-1577x0577', 'qryan@example.org', '1957-02-26', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.397+0530] {logging_mixin.py:188} INFO - ('101b00b1-643a-450c-b73f-a8b3b686cc41', 'Thomas Johnston', 'PSC 1294, Box 0611\nAPO AA 56753', '638-216-9977x7356', 'matthew75@example.net', '1992-04-21', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.398+0530] {logging_mixin.py:188} INFO - ('b782a911-c222-4227-975f-b1844c2a6bcd', 'Mark Conway', '63508 Shawn Viaduct Suite 083\nFranciscoburgh, PR 96119', '529.479.8505', 'vroth@example.com', '2001-06-01', Timestamp('2024-07-14 03:09:26.341142'))
[2024-07-14T03:09:26.400+0530] {logging_mixin.py:188} INFO - ('690f1f1a-162d-40ef-838a-c5d8bd24849c', 'Dana Reyes', '9578 Angie Bypass\nNorth Sandramouth, NY 78940', '(519)919-1327', 'csmith@example.com', '2001-02-20', Timestamp('2024-07-14 03:09:26.341142'))
